GNIS_ID,FIPS_CODE
1314481,78570
1314481,78570
1462355,00244
1462375,00420
1462395,01016
1462400,01136
1462423,01272
1462426,01528
1462437,01608
1462535,02152
1462558,03208
1462565,03272
1462571,03288
1462755,04200
1462835,05064
1462846,05224
1462937,05485
1462977,05480
1463039,05912
1463039,05912
1463064,06392
1463069,06632
1463076,06712
1463247,07164
1463261,07168
1463454,07640
1463455,07656
1463528,07832
1463757,09208
1463830,09810
1463848,10008
1463870,10072
1463870,10072
1463884,10296
1463935,10456
1464090,11256
1464115,11560
1464121,11592
1464244,12104
1464259,12168
1464425,12792
1464432,12884
1464465,13224
1464495,13320
1464551,13635
1464658,14056
1464663,14136
1464672,14152
1464687,14312
1464696,14344
1464699,14408
1464752,14984
1464753,14995
1464768,15100
1464808,16284
1464808,16284
1464849,16464
1464850,16480
1464885,16560
1464923,16720
1464930,16848
1464932,16880
1464956,17056
1464963,17120
1464965,17152
1464978,17296
1464998,17632
1465109,18176
1465152,18880
1465196,19017
1465285,19408
1465389,19840
1465433,20224
1465440,20288
1465481,20400
1465516,20704
1465571,21008
1465597,21312
1465671,22368
1465804,22550
1465871,22810
1465875,22816
1465883,22920
1465927,23264
1465943,23376
1465945,23392
1465990,23600
1466048,23940
1466175,24885
1466190,25104
1466241,25424
1466242,25440
1466261,25616
1466358,26288
1466370,26304
1466374,26384
1466377,26416
1466402,26976
1466493,27355
1466496,27370
1466533,27712
1466563,27872
1466626,28025
1466627,28000
1466869,29824
1466944,30144
1467047,30665
1467129,31104
1467186,31728
1467264,31936
1467264,31936
1467267,31952
1467331,32064
1467332,32055
1467349,32208
1467429,32496
1467497,32624
1467538,33232
1467602,33744
1467619,33824
1467632,33920
1467734,35325
1467746,35400
1467759,35528
1467865,35992
1467909,36300
1467920,36355
1468030,37135
1468065,37320
1468068,37432
1468078,37560
1468089,37640
1468156,38012
1468202,38280
1468226,38408
1468253,38504
1468341,38728
1468346,38776
1468406,39144
1468433,39224
1468437,39256
1468443,39368
1468445,39400
1468492,39752
1468520,40056
1468521,40088
1468571,40280
1468641,40504
1468910,41384
1468935,41656
1468949,41880
1468970,42184
1468986,42264
1469025,42596
1469029,42760
1469093,43208
1469104,43618
1469133,44008
1469133,44008
1469155,44280
1469253,44712
1469346,45490
1469618,46088
1469734,46472
1469870,47112
1469954,47704
1469992,48312
1470009,48600
1470024,48776
1470054,49096
1470085,49320
1470139,49720
1470148,49928
1470191,9230R
1470332,50824
1470344,50968
1470344,50968
1470421,51432
1470422,51448
1470553,51928
1470571,51976
1470571,51976
1470629,52248
1470658,52408
1470669,52504
1470673,52536
1470684,52648
1470693,52888
1470699,53016
1470714,53035
1470728,53112
1470776,53384
1470791,53496
1470796,53720
1470947,54048
1471026,54102
1471109,54376
1471171,53565
1471185,53640
1471251,54456
1471326,54920
1471328,54984
1471345,55208
1471379,55448
1471466,55832
1471477,55920
1471482,55928
1471523,56096
1471528,56160
1471529,56144
1471530,56240
1471640,53880
1471678,57870
1471695,58072
1471697,58152
